SBFlux_f1_Mean,SBFlux_f1_Std,SBFlux_f2_Mean,SBFlux_f2_Std,SBFlux_f3_Mean,SBFlux_f3_Std,SBFlux_f4_Mean,SBFlux_f4_Std,SBFlux_f5_Mean,SBFlux_f5_Std,SBFlux_f6_Mean,SBFlux_f6_Std,SBFlux_f7_Mean,SBFlux_f7_Std,SBFlux_f8_Mean,SBFlux_f8_Std,SBFlux_f9_Mean,SBFlux_f9_Std,SBFlux_f10_Mean,SBFlux_f10_Std,SBEntropy_f1_Mean,SBEntropy_f1_Std,SBEntropy_f2_Mean,SBEntropy_f2_Std,SBEntropy_f3_Mean,SBEntropy_f3_Std,SBEntropy_f4_Mean,SBEntropy_f4_Std,SBEntropy_f5_Mean,SBEntropy_f5_Std,SBEntropy_f6_Mean,SBEntropy_f6_Std,SBEntropy_f7_Mean,SBEntropy_f7_Std,SBEntropy_f8_Mean,SBEntropy_f8_Std,SBEntropy_f9_Mean,SBEntropy_f9_Std,SBEntropy_f10_Mean,SBEntropy_f10_Std,SBZCR_f1_Mean,SBZCR_f1_Std,SBZCR_f2_Mean,SBZCR_f2_Std,SBZCR_f3_Mean,SBZCR_f3_Std,SBZCR_f4_Mean,SBZCR_f4_Std,SBZCR_f5_Mean,SBZCR_f5_Std,SBZCR_f6_Mean,SBZCR_f6_Std,SBZCR_f7_Mean,SBZCR_f7_Std,SBZCR_f8_Mean,SBZCR_f8_Std,SBZCR_f9_Mean,SBZCR_f9_Std,SBZCR_f10_Mean,SBZCR_f10_Std,SBKurtosis_f1_Mean,SBKurtosis_f1_Std,SBKurtosis_f2_Mean,SBKurtosis_f2_Std,SBKurtosis_f3_Mean,SBKurtosis_f3_Std,SBKurtosis_f4_Mean,SBKurtosis_f4_Std,SBKurtosis_f5_Mean,SBKurtosis_f5_Std,SBKurtosis_f6_Mean,SBKurtosis_f6_Std,SBKurtosis_f7_Mean,SBKurtosis_f7_Std,SBKurtosis_f8_Mean,SBKurtosis_f8_Std,SBKurtosis_f9_Mean,SBKurtosis_f9_Std,SBKurtosis_f10_Mean,SBKurtosis_f10_Std,SBSkewnessn_f1_Mean,SBSkewnessn_f1_Std,SBSkewnessn_f2_Mean,SBSkewnessn_f2_Std,SBSkewnessn_f3_Mean,SBSkewnessn_f3_Std,SBSkewnessn_f4_Mean,SBSkewnessn_f4_Std,SBSkewnessn_f5_Mean,SBSkewnessn_f5_Std,SBSkewnessn_f6_Mean,SBSkewnessn_f6_Std,SBSkewnessn_f7_Mean,SBSkewnessn_f7_Std,SBSkewnessn_f8_Mean,SBSkewnessn_f8_Std,SBSkewnessn_f9_Mean,SBSkewnessn_f9_Std,SBSkewnessn_f10_Mean,SBSkewnessn_f10_Std,Class
0.062398,-0.369371,-0.463709,-0.756686,-0.042269,-0.59969,0.570424,0.111506,1.707231,2.038591,0.305765,0.406097,-0.11403,-0.236485,-0.454833,-0.582889,-0.448163,-0.453395,-0.054258,-0.162205,-0.583001,-0.861316,0.107291,-0.99957,-0.311488,-1.012671,0.023168,-1.080688,-0.116979,0.110829,0.023489,-0.565114,0.058555,0.257707,1.231606,-0.713244,-0.261599,-0.244995,-0.204796,-0.930552,-0.975538,-1.067157,-0.643137,-0.710124,-0.323363,-0.499265,-0.199071,-0.280283,-0.532967,-0.219247,0.759152,-0.198072,-0.077424,-0.417697,-0.052172,-0.668903,0.130384,-0.637083,-0.53095,-0.739375,0.328227,-0.195183,0.053857,-0.533708,0.739173,-0.218862,0.928454,0.12494,1.284857,1.032588,1.120066,0.486626,0.780709,0.602805,-0.389256,-0.9691,-0.388356,0.071337,0.760013,-0.033601,0.655329,-0.329252,0.165718,-0.89957,0.875336,-0.533753,0.980016,-0.021343,1.16896,1.017851,1.091526,0.116632,0.691048,-0.324624,-0.474373,-0.656208,-0.543881,-0.695144,0.74802,-0.689031,Blues
0.093206,-0.326219,-0.347565,-0.496997,-0.307136,-0.401543,0.102737,0.555456,0.017666,1.005379,-0.636872,-0.179908,-0.91958,-0.409442,-0.848414,-0.725192,-0.52382,-0.370074,-0.406644,-0.13656,-1.478628,-0.71202,-1.06998,-0.846356,-0.814315,-0.496442,-0.385491,0.069027,-0.090024,0.31588,0.080917,0.143606,0.769521,-0.081386,1.266641,0.066444,-1.048825,0.313163,-1.244169,0.360751,-1.014037,-1.018308,-0.654468,-0.637797,-0.257304,-0.367465,-0.297616,-0.186588,-0.203007,0.158253,-0.563929,-0.112477,-0.228508,-0.235419,0.373518,1.254454,-0.341516,0.87192,-0.995576,-0.58422,1.111659,0.378459,1.325656,0.890635,1.382206,1.315794,0.99219,0.796164,0.890858,0.572314,0.289991,0.048941,-0.580801,-0.904828,-1.623822,-0.830543,-0.042202,0.924243,0.592142,0.271712,1.582596,0.278064,1.444063,0.680922,1.359586,1.080864,0.998712,1.063873,0.890977,0.672567,0.343517,-0.12817,-0.927402,0.736101,-1.802356,-0.601075,-0.359001,0.617907,0.663108,-0.245048,Blues
-0.491681,-0.461155,-0.038548,0.127196,0.343783,-0.225569,1.50787,0.339313,1.8903,1.137642,1.904422,1.130739,0.478111,0.863558,-0.260935,0.00851,-0.498314,-0.527543,0.558748,-0.072147,0.944224,-0.306078,0.330338,0.255489,-0.258476,-1.048594,-0.294199,-1.040806,-0.162655,-0.199443,-0.485481,0.018963,-0.456006,0.637957,0.826197,-0.244394,-0.080481,-0.171068,-0.442863,-0.775859,-0.101657,-0.457535,-0.06318,0.239528,-0.462999,-0.502027,-0.360069,-0.095407,-0.178254,-0.314422,-0.274391,-0.174051,-1.417767,-0.731841,-0.219445,-0.272091,-0.414014,0.619034,-0.537112,-0.732692,-0.248586,-0.412241,0.166653,-0.076009,1.187662,-0.027792,1.826363,0.699936,1.715966,1.290873,1.692839,1.760323,0.543696,1.318496,-0.607632,-0.437152,-0.908257,-0.228463,1.105055,-0.1776,-0.24779,-0.493241,0.232204,0.0506,1.247092,-0.294003,1.649953,0.425675,1.544134,1.040417,1.496529,1.601361,0.639883,0.510318,-0.648245,-0.045466,0.16128,0.058313,1.063399,-0.939326,Blues
-0.71158,-0.638563,1.931965,2.773356,0.214229,-0.06639,0.23735,0.574155,-0.225592,0.105771,-0.779915,-0.716999,-1.057265,-0.951751,-0.942726,-0.884782,-0.715877,-0.673687,0.572623,0.962979,0.67925,-0.682347,-2.069864,-0.369425,-0.993264,-0.905541,-0.395135,-0.256159,-0.162989,-0.75955,0.037278,-0.880291,0.702418,-0.518929,1.175874,-0.442638,-1.296866,2.268023,-1.970201,0.519597,-0.545851,-0.780951,-0.732424,-0.748392,-0.49952,-0.546269,-0.288593,-0.469549,-0.26478,-0.370151,-1.814261,-0.452956,-1.976485,0.148435,-1.653912,2.581018,-1.662743,1.91044,-1.345317,-0.938086,-0.158401,-0.349876,2.762444,2.683207,2.544293,1.73743,2.455145,2.798493,2.400334,2.00186,1.477558,0.9011,-0.384331,-1.001597,-1.945579,-1.36306,-1.112988,-0.59259,0.94068,0.288256,-0.004837,-0.530468,2.623148,2.251578,2.238695,1.272403,1.973503,2.465771,2.009174,1.708653,1.313761,0.409219,-0.800917,-0.157789,-1.971101,-1.906566,1.099987,1.147383,1.011539,-0.638251,Blues
-0.790818,-0.681257,-1.162466,-1.108299,-1.380967,-1.42949,-0.511363,-0.905615,0.350532,-0.067096,0.771108,0.898756,-0.112343,0.918303,-0.237814,0.485488,-0.630206,-0.434593,-0.807729,-0.799257,1.945742,-0.941945,3.064416,0.131248,2.658956,0.277401,0.034788,-0.151223,-0.371008,-0.712679,-0.837026,0.050791,-0.870695,1.137019,-0.637641,1.799853,-0.313529,0.335454,-0.239631,-0.97325,2.204833,0.936573,1.929956,0.677614,0.997682,0.413366,-0.272493,-0.54082,0.537843,-0.384619,-1.466874,-0.173005,-1.13295,0.555841,0.002689,-0.46901,-0.443232,-0.048306,-0.204117,-0.686902,-0.601657,-0.433491,-1.115832,-0.648622,-0.814593,-0.421836,0.549296,0.436818,1.349458,0.939675,1.409662,1.757317,0.557678,1.911662,0.162251,0.400085,-0.365184,1.111356,1.213836,1.033326,-0.98641,-0.379352,-1.59656,-0.486026,-1.111359,-0.097083,0.492183,0.725625,1.272334,0.964961,1.276944,1.549729,0.738615,0.914362,0.431285,0.867626,0.527598,0.198298,1.10073,-0.246233,Blues
-0.710023,-0.621904,-1.128432,-0.994622,-1.051087,-0.725271,0.222535,0.321063,0.66793,2.474341,-0.048725,0.908314,-0.543675,0.159883,-0.052002,1.753911,-0.411254,0.088105,-0.740321,-0.783401,1.124267,1.394019,2.437545,1.886201,1.457429,2.308402,-0.77975,1.039764,-0.620141,1.079385,-0.688014,1.117784,-0.391207,0.414656,0.117308,0.24794,-1.09867,1.189237,-0.50567,0.248989,1.484188,2.486958,3.430792,5.906386,3.160307,4.765446,-0.061249,1.118658,0.434744,1.887845,-0.969604,1.248488,-0.557058,0.301884,-0.053431,0.50407,-0.804741,0.909242,-0.438929,-0.103973,-0.509227,-0.06885,-0.798721,-0.08426,-0.039924,0.417135,0.719634,1.37997,0.809593,1.217798,0.729474,1.438149,0.322873,0.564525,-0.083474,0.497121,0.741619,3.859013,1.055829,2.589824,-0.810723,0.668119,-1.250992,0.840469,-0.266666,1.432767,0.618533,1.745788,0.725736,1.574786,0.635004,2.183095,0.426832,-0.154927,-0.06981,0.638026,1.416254,2.421106,0.943739,1.101918,Blues
-0.508797,0.222591,-1.148203,-0.824697,-0.663881,-0.26665,1.754552,2.032583,1.287712,3.280323,0.624101,3.23739,0.702347,2.30518,-0.358119,1.022809,-0.699327,-0.457269,-0.393761,-0.176791,1.317247,0.760017,3.150975,1.229419,0.657273,2.487696,-1.284278,1.177062,-0.947302,1.358787,-0.579536,0.697748,-1.28617,0.6987,-0.801185,0.503437,-1.636957,2.211511,-0.987633,-0.053304,1.345822,0.770496,2.992062,2.453396,1.186729,1.797815,-0.70931,-0.174641,-0.473561,0.092692,0.644623,0.889683,-0.936009,0.279436,-2.367498,2.942609,-2.404589,1.984792,-0.696726,-0.603927,-0.196687,0.210162,-0.652296,-0.020004,0.374464,0.780268,1.692073,2.390158,1.556704,2.672468,0.928368,1.721391,0.942353,3.150114,-0.028372,0.468935,0.029205,0.658631,1.360907,0.606422,-0.538785,0.319173,-1.183769,0.514088,0.209144,1.288582,1.35799,2.360042,1.167258,2.452559,0.763342,1.614547,1.121779,1.57059,0.236114,0.194833,3.355761,3.27873,1.256581,-0.565418,Blues
-0.743205,-0.645078,-1.14424,-1.031815,-0.454966,-0.790834,1.952465,1.932527,0.413145,1.544252,0.014718,2.203347,0.029183,1.975361,-0.361153,1.313656,-0.670723,-0.563768,-0.290233,-0.294817,1.399624,0.558988,2.677026,1.672776,-0.324561,0.878924,-1.088929,0.626559,-0.468591,0.075523,-0.094138,0.13337,-0.534539,-0.006665,0.070301,0.150001,-1.451006,1.476066,-1.053681,0.069704,0.659537,1.354104,1.921798,3.200046,-0.055636,0.333789,-0.954876,-0.296253,-1.102271,-0.079595,0.136689,0.368573,-0.768399,-0.018571,-1.085458,1.990411,-1.672,2.009951,-0.904066,-0.65564,-0.28306,0.00075,-0.638428,-0.19619,1.010546,0.668464,1.663304,1.842314,1.458905,1.324152,1.284413,1.339036,0.693188,1.360855,-0.901376,1.777961,-0.463754,0.361848,1.098903,0.259945,-0.504012,0.337623,-0.974223,0.394783,1.001006,1.240191,1.449639,1.981077,1.28172,1.366596,1.061174,1.113762,0.62094,0.378442,-0.850932,1.428367,1.744367,2.32628,1.079771,-0.658301,Blues
-0.3936,-0.522229,0.732141,-0.55653,-0.285813,0.179611,0.558952,0.409407,0.83222,0.643937,-0.134443,-0.109781,-0.241604,-0.456744,-0.423244,-0.327682,-0.403902,-0.365207,0.3881,0.111174,0.063016,-1.051987,-1.167508,-1.117319,0.094768,-0.791938,-0.260016,-1.121632,0.075407,-0.721288,0.621539,-0.749197,-0.084629,0.263833,1.233229,-0.519824,-0.593758,-0.439611,-0.699193,-0.385603,0.013561,-0.774673,-0.704052,-0.757178,-0.275295,-0.534153,-0.917192,-0.479666,0.538273,-0.149652,-0.75939,-0.771807,-0.452243,-0.074685,0.324522,-0.243067,0.155435,-0.776105,-0.906689,-0.798041,-0.336508,-0.386155,1.034175,-0.191154,0.127047,-0.408641,0.857014,0.185626,1.615502,1.128253,0.690499,0.510072,0.293781,0.045268,-0.834401,-0.647706,-0.297279,0.166237,0.638035,0.127347,-0.242837,-0.560787,1.339423,-0.516802,0.301297,-0.55108,0.949013,0.012717,1.414819,0.954918,0.605371,0.153459,0.253388,-0.581113,-1.015193,-0.473708,-0.662152,-0.626911,0.677859,-0.581753,Blues
-0.669799,-0.675425,-1.089898,-0.992095,-1.15934,-0.617134,0.020701,1.30403,0.588347,2.285294,-0.427469,0.606705,-0.897846,-0.585667,-0.513751,0.221151,-0.677301,-0.54713,-0.997485,-0.766168,0.43821,1.471386,1.619535,1.503944,1.095192,1.794497,-0.58947,0.007488,-0.849663,0.535888,-0.481742,0.385237,0.551287,-0.008908,-0.365746,1.079328,-0.796788,1.060451,-0.574891,-0.886594,-0.565624,-0.299189,0.22707,0.142193,0.707264,0.583702,0.098156,-0.053609,0.197982,0.349305,-0.889989,-0.128381,0.792787,0.073774,0.096991,-0.004362,-0.188006,0.156353,-0.69027,-0.739746,-0.021113,0.947567,-0.508407,0.193892,-0.099088,0.256291,0.721715,0.762331,0.913202,1.100306,0.740235,0.616131,0.126566,-0.941693,0.417728,1.001641,-0.136607,0.971469,0.943022,0.563693,-0.127207,1.668913,-0.79602,1.029559,-0.220802,0.956367,0.75848,0.930886,0.874901,1.313075,0.784636,0.762209,-0.096067,-0.993266,0.592457,1.59676,0.034631,0.36651,0.876853,-0.458942,Blues
